algorithm_tested,original,parallelized
OLS Regression,5.779999999998836,10.869999999995343
Elastic Net,14.529999999998836,5.139999999999418
Random Forest,362.3899999999994,420.69000000000233
eXtreme Gradient Boosting,509.8600000000006,229.56000000001222
